place_id,title,address,maps_url,review_url,street,categories,services,labels,phone,review_count,rating,latitude,longitude,website,claimed,opening_hours,menu_link,booking_link,table_order_link,latest_post,municipality
"ChIJbTfxPJQFGTkRuByDK77aC4o","Jameel Auto Workshop","Mughalpura Road, Kumharpura, Lahore, 54840, Pakistan","https://www.google.com/maps?cid=9947284712286526648","https://search.google.com/local/reviews?placeid=ChIJbTfxPJQFGTkRuByDK77aC4o&q=auto+repair+shop+lahore&authuser=0&hl=en","Mughalpura Road","Car repair and maintenance service","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot","03224112081",122,4.8,31.5595064,74.3880259,,"TRUE","Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: Closed, Monday: 9 AM–9 PM",,,,,"Kumharpura"
"ChIJEwTJHTcRGTkR4jb9z3g7P2Q","Khan Auto Wheel Alignment & Wheel balcing","Salamatpura Lahore, Pakistan","https://www.google.com/maps?cid=7223557717397157602","https://search.google.com/local/reviews?placeid=ChIJEwTJHTcRGTkR4jb9z3g7P2Q&q=auto+repair+shop+lahore&authuser=0&hl=en",,"Car inspection station",,"Amenities: Mechanic","03024330412",3,4.3,31.5812907,74.41805839999999,,"TRUE","Tuesday: 9 AM–8 PM, Wednesday: 9 AM–8 PM, Thursday: 9 AM–8 PM, Friday: 9 AM–8 PM, Saturday: 9 AM–8 PM, Sunday: 9 AM–2 PM, Monday: 9 AM–8 PM",,,,,"Salamatpura"
"ChIJTTJNjVgEGTkREC5-kqUvLII","Autoboyz Lahore","Gohava Rd, Khuda Buksh Colony Lahore, Pakistan","https://www.google.com/maps?cid=9379924512079752720","https://search.google.com/local/reviews?placeid=ChIJTTJNjVgEGTkREC5-kqUvLII&q=auto+repair+shop+lahore&authuser=0&hl=en","Gohava Rd","Auto repair shop","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom; Offerings: Oil change; Amenities: Mechanic, Restroom; Payments: Credit cards, Debit cards, NFC mobile payments, Credit cards","03038083333",92,4.1,31.4953403,74.4217238,"http://www.autoboyz.biz/","TRUE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Khuda Buksh Colony"
"ChIJ2w2IZRURGTkRc_X1qlJsui8","Nasir car Workshop","HCG7+GJ8, Ibn-e-Saeed Rd, Salamatpura Canal Bank Housing Scheme, Lahore, Pakistan","https://www.google.com/maps?cid=3439180367762158963","https://search.google.com/local/reviews?placeid=ChIJ2w2IZRURGTkRc_X1qlJsui8&q=auto+repair+shop+lahore&authuser=0&hl=en","HCG7+GJ8, Ibn-e-Saeed Rd","Auto repair shop",,"Amenities: Mechanic",,1,5,31.576275499999998,74.4140863,,"FALSE","",,,,,"Salamatpura Canal Bank Housing Scheme"
"ChIJgQuJZwARGTkR8y7n_KJSqyY","bhatti kamani maker","shop 47, mor salamtpura, commercial market darogha wala, Salamatpura Lahore, Pakistan","https://www.google.com/maps?cid=2786411654439972595","https://search.google.com/local/reviews?placeid=ChIJgQuJZwARGTkR8y7n_KJSqyY&q=auto+repair+shop+lahore&authuser=0&hl=en","shop 47, mor salamtpura, commercial market darogha wala","Auto repair shop",,"Amenities: Mechanic","03004205467",1,5,31.581758899999997,74.415922,,"FALSE","Tuesday: 8:59 AM–8 PM, Wednesday: 8:59 AM–8 PM, Thursday: 8:59 AM–8 PM, Friday: 8:59 AM–8 PM, Saturday: 8:59 AM–8 PM, Sunday: Closed, Monday: 8:59 AM–8 PM",,,,,"Salamatpura"
"ChIJCaJHoxkPGTkRnzYad_Vhupg","Lahore Best Auto Workshop","13 B, St 06b Walton Rd, Cantt, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=11005216346326316703","https://search.google.com/local/reviews?placeid=ChIJCaJHoxkPGTkRnzYad_Vhupg&q=auto+repair+shop+lahore&authuser=0&hl=en","13 B, St 06b Walton Rd","Auto repair shop, Auto air conditioning service, Auto electrical service, Brake shop, Engine rebuilding service, Oil change service",,"Offerings: Oil change; Amenities: Mechanic","03004544443",13,4.6,31.493143999999997,74.3871036,,"TRUE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Cantt"
"ChIJ-9UAVe8PGTkRk8nQl-dY-5Q","Auto Force PK | Auto Repair & Tyres Shop","Service Road, Main Ring Road, Tibba, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=10735271888475441555","https://search.google.com/local/reviews?placeid=ChIJ-9UAVe8PGTkRk8nQl-dY-5Q&q=auto+repair+shop+lahore&authuser=0&hl=en","Service Road, Main Ring Road","Auto repair shop, Auto bodywork mechanic, Auto dent removal service, Car repair and maintenance service, Car wash, Mechanic","Onsite services","Service options: Onsite services; Amenities: Mechanic","03281011110",21,5,31.4964986,74.4280064,"https://autoforcepk.com/","TRUE","Tuesday: 9 AM–7 PM, Wednesday: 9 AM–7 PM, Thursday: 9 AM–7 PM, Friday: 9 AM–7 PM, Saturday: 9 AM–7 PM, Sunday: Closed, Monday: 9 AM–7 PM",,,,,"Tibba"
"ChIJ6VQLidIPGTkRzVWrfKxLRsI","Sharjah Rent A Car & Oil Change Auto Parts","Canal Rd, Near Harbanspura, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=13998959695925827021","https://search.google.com/local/reviews?placeid=ChIJ6VQLidIPGTkRzVWrfKxLRsI&q=auto+repair+shop+lahore&authuser=0&hl=en","Canal Rd","Auto machine shop",,"Amenities: Mechanic","03004701721",71,4.4,31.571501599999998,74.4288559,,"TRUE","Tuesday: 7 AM–10 PM, Wednesday: 7 AM–10 PM, Thursday: 7 AM–10 PM, Friday: 7 AM–10 PM, Saturday: 7 AM–10 PM, Sunday: 7 AM–10 PM, Monday: 7 AM–10 PM",,,,,"Near Harbanspura"
"ChIJyw5uW9URGTkR3QjQfMPHnbI","Sufi Auto Yamaha QCS Center","Salamat Pura Rd, Zaitoon Colony, Lahore, Pakistan","https://www.google.com/maps?cid=12870662952521304285","https://search.google.com/local/reviews?placeid=ChIJyw5uW9URGTkR3QjQfMPHnbI&q=auto+repair+shop+lahore&authuser=0&hl=en","Salamat Pura Rd","Motorcycle repair shop","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance, Wheelchair accessible restroom; Amenities: Mechanic, Restroom; Payments: Cash-only","03024188419",123,4.7,31.5842659,74.40653379999999,,"TRUE","Tuesday: 9 AM–8 PM, Wednesday: 9 AM–8 PM, Thursday: 9 AM–8 PM, Friday: 9 AM–8 PM, Saturday: 9 AM–8 PM, Sunday: 9 AM–1 PM, Monday: 9 AM–8 PM",,,,,"Zaitoon Colony"
"ChIJx-OTQBwQGTkRuHZLsRfNL_0","Mughal Autos","HCGC+MMG, Harbanspura, Lahore, Pakistan","https://www.google.com/maps?cid=18244026117143623352","https://search.google.com/local/reviews?placeid=ChIJx-OTQBwQGTkRuHZLsRfNL_0&q=auto+repair+shop+lahore&authuser=0&hl=en","HCGC+MMG","Motorcycle repair shop",,"Amenities: Mechanic",,7,4.6,31.5766794,74.4217153,,"FALSE","",,,,,"Harbanspura"
"ChIJqQi5yE4bGTkRY0AKHZ38Gqw","Ahmed Auto Engineering Works","Abdul Karim Rd, Qila Gujjar Singh, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=12401502275645358179","https://search.google.com/local/reviews?placeid=ChIJqQi5yE4bGTkRY0AKHZ38Gqw&q=auto+repair+shop+lahore&authuser=0&hl=en","Abdul Karim Rd","Auto repair shop, Auto spring shop","Onsite services","Service options: Onsite services; Amenities: Mechanic; Planning: Appointment required","03234519184",212,4.9,31.568254699999997,74.3288283,,"TRUE","Tuesday: 10:30 AM–8 PM, Wednesday: 10:30 AM–8 PM, Thursday: 10:30 AM–8 PM, Friday: 10:30 AM–8 PM, Saturday: 10:30 AM–8 PM, Sunday: Closed, Monday: 10:30 AM–8 PM",,,,,"Qila Gujjar Singh"
"ChIJGYnP65ABGTkRj94UD4UkxZ4","Auto Mech Workshop","Plot 570 Block Q, Phase 2 Johar Town, Lahore, Pakistan","https://www.google.com/maps?cid=11440590582306889359","https://search.google.com/local/reviews?placeid=ChIJGYnP65ABGTkRj94UD4UkxZ4&q=auto+repair+shop+lahore&authuser=0&hl=en","Plot 570 Block Q","Car repair and maintenance service, Auto dent removal service, Auto machine shop, Auto spring shop, Auto tune up service, Engine rebuilding service, Machine workshop, Oil change service, Vehicle inspection service, Wheel alignment service","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance; Offerings: Oil change","03004292156",115,4.8,31.460707499999998,74.271873,"http://automechbro.com/","TRUE","Tuesday: 9:30 AM–8 PM, Wednesday: 9:30 AM–8 PM, Thursday: 9:30 AM–8 PM, Friday: Closed, Saturday: 9:30 AM–8 PM, Sunday: 9:30 AM–8 PM, Monday: 9:30 AM–8 PM",,,,,"Block Q Phase 2 Johar Town"
"ChIJafZ-RwAPGTkRPbkspGUWNgs","Pak two wheels Auto work shop","244 Jehangir Rd, Harbanspura, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=807857808961485117",,"244 Jehangir Rd","Motorcycle repair shop",,"Amenities: Mechanic",,,,31.573349399999998,74.42679,,"FALSE","",,,,,"Harbanspura"
"ChIJ3WbTivQPGTkRenL1d4ZkvnE","HERO AUTO SERVICE","New Canal Park Phase1 Tajbagh Scheme, Sami Town Harbanspura, Lahore, Pakistan","https://www.google.com/maps?cid=8196098900561851002",,"New Canal Park Phase1 Tajbagh Scheme","Motorcycle repair shop",,"Amenities: Mechanic",,,,31.5671975,74.41673329999999,,"FALSE","Tuesday: 11 AM–10 PM, Wednesday: 11 AM–10 PM, Thursday: 11 AM–10 PM, Friday: 11 AM–10 PM, Saturday: 11 AM–10 PM, Sunday: Closed, Monday: 11 AM–10 PM",,,,,"Sami Town Harbanspura"
"ChIJC_cyWW8RGTkRVOItCXAZkF8","Zahid Auto","HFWG+596, Fahad Town Lahore, Pakistan","https://www.google.com/maps?cid=6886031799230521940","https://search.google.com/local/reviews?placeid=ChIJC_cyWW8RGTkRVOItCXAZkF8&q=auto+repair+shop+lahore&authuser=0&hl=en","HFWG+596","Auto repair shop",,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot; Amenities: Mechanic","03218436323",21,4.7,31.595422099999997,74.47589649999999,,"FALSE","Tuesday: 8 AM–8 PM, Wednesday: 8 AM–8 PM, Thursday: 8 AM–8 PM, Friday: 8 AM–8 PM, Saturday: 8 AM–8 PM, Sunday: Closed, Monday: 8 AM–8 PM",,,,,"Fahad Town"
"ChIJ7csqbwAPGTkRFfYwfDkbnkI","I.S auto repair workshop","GCGW+GQ5 attock petrol pump, main Barki Rd, Gate #1, Paragon City, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=4800304186534196757","https://search.google.com/local/reviews?placeid=ChIJ7csqbwAPGTkRFfYwfDkbnkI&q=auto+repair+shop+lahore&authuser=0&hl=en","GCGW+GQ5 attock petrol pump, main Barki Rd, Gate #1","Auto repair shop",,"Amenities: Mechanic","03164819350",1,5,31.5262544,74.4469846,,"FALSE","Tuesday: 9:30 AM–9 PM, Wednesday: 9:30 AM–9 PM, Thursday: 9:30 AM–9 PM, Friday: 9:30 AM–9 PM, Saturday: 9:30 AM–9 PM, Sunday: 9:30 AM–9 PM, Monday: 9:30 AM–9 PM",,,,,"Paragon City"
"ChIJPRTSjtMFGTkRLdO1-Tbs37E","Umer Autos | Auto Repair Shop | Car Repair","Boys Scout Stop, Walton Rd, Pir Colony, Lahore, Pakistan","https://www.google.com/maps?cid=12817222785381552941","https://search.google.com/local/reviews?placeid=ChIJPRTSjtMFGTkRLdO1-Tbs37E&q=auto+repair+shop+lahore&authuser=0&hl=en","Boys Scout Stop, Walton Rd","Car repair and maintenance service","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating; Payments: Credit cards, Debit cards, NFC mobile payments, Credit cards","03004287583",124,4.7,31.482277999999997,74.36267269999999,"http://umerauto.com/","TRUE","Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: Closed, Monday: 9 AM–9 PM",,,,,"Pir Colony"
"ChIJTzxePwARGTkR8U9HS07oZZ8","Sultan sons","HCGG+CFM, Harbanspura, Lahore, Pakistan","https://www.google.com/maps?cid=11485841847646375921",,"HCGG+CFM","Auto repair shop",,"Amenities: Mechanic",,,,31.576079,74.42618209999999,,"FALSE","",,,,,"Harbanspura"
"ChIJ-0WuPaMRGTkR61FJYm3Q1rQ","Ehsan Honda service","HCG7+QMC, Godianwala Salamatpura, Lahore, Pakistan","https://www.google.com/maps?cid=13030831740062093803","https://search.google.com/local/reviews?placeid=ChIJ-0WuPaMRGTkR61FJYm3Q1rQ&q=auto+repair+shop+lahore&authuser=0&hl=en","HCG7+QMC","Motorcycle repair shop, Mechanic",,"Amenities: Mechanic","03204144609",8,4.8,31.5769481,74.4141465,,"FALSE","Tuesday: 9 AM–10 PM, Wednesday: 9 AM–10 PM, Thursday: 9 AM–10 PM, Friday: Closed, Saturday: 9 AM–10 PM, Sunday: 9 AM–10 PM, Monday: 9 AM–10 PM",,,,,"Godianwala Salamatpura"
"ChIJY56JcwAFGTkRqWSzW1kvbX0","Saleem Bhatti Mechanic Auto Workshop (Car Repair, Oil Change, General Tuning)","Street 5 Academy Road, Qasim Pura Qasimpura, Lahore, Pakistan","https://www.google.com/maps?cid=9037932088039531689","https://search.google.com/local/reviews?placeid=ChIJY56JcwAFGTkRqWSzW1kvbX0&q=auto+repair+shop+lahore&authuser=0&hl=en","Street 5 Academy Road","Auto repair shop",,"Amenities: Mechanic","03004363753",8,4.5,31.509937299999997,74.35974639999999,,"TRUE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Qasim Pura Qasimpura"
"ChIJPWterA4PGTkRFSWCIPxs3L8","The Auto Garage TAG","Plot No. 1164, 8 Service Main Ring Road, next to Netsol Avenue, Phase DHA, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=13825044786253538581","https://search.google.com/local/reviews?placeid=ChIJPWterA4PGTkRFSWCIPxs3L8&q=auto+repair+shop+lahore&authuser=0&hl=en","Plot No. 1164, 8 Service Main Ring Road, next to Netsol Avenue","Auto repair shop, Auto body shop, Auto machine shop, Auto painting, Auto parts market, Auto restoration service, Auto tune up service, Car repair and maintenance service, Car wash, Vehicle inspection service",,"Accessibility: Assistive hearing loop, Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible seating, Wheelchair accessible restroom; Amenities: Mechanic, Restroom; Planning: Appointments recommended","03247673535",45,4.4,31.494263999999998,74.42886399999999,,"TRUE","Tuesday: 10 AM–9 PM, Wednesday: 10 AM–9 PM, Thursday: 10 AM–9 PM, Friday: 10 AM–9 PM, Saturday: 10 AM–9 PM, Sunday: 10 AM–5 PM, Monday: 10 AM–9 PM",,,,,"Phase DHA"
"ChIJBZTOCfMbGTkRc7GnsV0sPVs","Ahsan Autos احسن آٹوز","Khudadad St, near PSO Petrol Pump, Pakistan Mint Colony, Lahore, 54920, Pakistan","https://www.google.com/maps?cid=6574459811954930035","https://search.google.com/local/reviews?placeid=ChIJBZTOCfMbGTkRc7GnsV0sPVs&q=auto+repair+shop+lahore&authuser=0&hl=en","Khudadad St, near PSO Petrol Pump","Mechanic",,"","03004263324",17,4.5,31.586633,74.3920644,,"FALSE","Tuesday: 8 AM–7 PM, Wednesday: 8 AM–7 PM, Thursday: 8 AM–7 PM, Friday: 8 AM–7 PM, Saturday: 8 AM–7 PM, Sunday: Closed, Monday: 8 AM–7 PM",,,,,"Pakistan Mint Colony"
"ChIJHdPJHQAbGTkRKsZi2SLEv-k","Subhan scooty service center","house no 416 Shalimar housing scheem, Street 6, N Shalimar Housing Scheme, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=16843396785344005674","https://search.google.com/local/reviews?placeid=ChIJHdPJHQAbGTkRKsZi2SLEv-k&q=auto+repair+shop+lahore&authuser=0&hl=en","house no 416 Shalimar housing scheem, Street 6","Repair service, Motorcycle repair shop",,"","03710770950",8,5,31.580891599999998,74.4121648,,"TRUE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"N Shalimar Housing Scheme"
"ChIJ0ffyYwARGTkRxDVYRPKc4zA","MA autos Road prince qlam center","HCJP+26F, Lahore Ring Rd, Kotli Ghazi, Lahore, Pakistan","https://www.google.com/maps?cid=3522831897876510148",,"HCJP+26F, Lahore Ring Rd","Motorcycle repair shop",,"Amenities: Mechanic","03214875073",,,31.5800715,74.4355511,,"FALSE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Closed, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Kotli Ghazi"
"ChIJX63dc1cPGTkRVJAgjTuWrCE","Karachi motor work shop","HCFJ+74G, Afzal Park Rd, Harbanspura, Lahore, Pakistan","https://www.google.com/maps?cid=2426479481760813140","https://search.google.com/local/reviews?placeid=ChIJX63dc1cPGTkRVJAgjTuWrCE&q=auto+repair+shop+lahore&authuser=0&hl=en","HCFJ+74G, Afzal Park Rd","Auto repair shop",,"Amenities: Mechanic","03254203955",3,4.3,31.573187599999997,74.4303256,,"FALSE","",,,,,"Harbanspura"
"ChIJc5n5qLoJGTkRBokCuPs_ZU4","Murshid auto workshop","Lahore medical Dental College, Royal Garden, Lahore, Pakistan","https://www.google.com/maps?cid=5648991657962670342","https://search.google.com/local/reviews?placeid=ChIJc5n5qLoJGTkRBokCuPs_ZU4&q=auto+repair+shop+lahore&authuser=0&hl=en","Lahore medical Dental College","Auto repair shop",,"Amenities: Mechanic","03061448231",5,4.4,31.5780787,74.46219119999999,,"TRUE","Tuesday: 9 AM–8 PM, Wednesday: 9 AM–12 AM, Thursday: 8 AM–8 PM, Friday: 9 AM–8 PM, Saturday: 9 AM–8 PM, Sunday: 9 AM–8 PM, Monday: 9 AM–8 PM",,,,,"Royal Garden"
"ChIJvenyUwARGTkR2CZuQjJ1uCQ","Al Rehman cool center","HCP8+4G3, Rajba Rd, Salamatpura, Lahore, Pakistan","https://www.google.com/maps?cid=2645993639803496152",,"HCP8+4G3, Rajba Rd","Auto repair shop",,"Amenities: Mechanic",,,,31.5852704,74.416287,,"FALSE","",,,,,"Salamatpura"
"ChIJcyQgCgAbGTkRRI2208XipkM","SHAH AUTO WORKSHOP MECHANIC AND DENTER","H8XR+F34, Shad Bagh, Lahore, Pakistan","https://www.google.com/maps?cid=4874832985963531588",,"H8XR+F34","Auto repair shop",,"Amenities: Mechanic","03224756070",,,31.5987469,74.34035949999999,,"FALSE","Tuesday: 10 AM–9 PM, Wednesday: 10 AM–9 PM, Thursday: 10 AM–9 PM, Friday: 10 AM–9 PM, Saturday: 10 AM–9 PM, Sunday: Closed, Monday: 10 AM–9 PM",,,,,"Shad Bagh"
